race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
10KM,10KM - ATE 59 ANOS - FEMININO,281,0c51009a51ea861bc2cdf7617880075895dd34cd,1f0ade6ae10f732b33f222716e7c3777d28b29d8,167,83,86,F,50,Run4life Corumba,01:43:10.603
10KM,10KM - ATE 59 ANOS - FEMININO,282,ce37872be3e78b62c27d8a5c31e5293c398693ff,0fce68f600830c1f5f86435505944c28f4f5c167,180,93,96,F,38,Run4life Corumba,01:46:22.700
10KM,10KM - ATE 59 ANOS - FEMININO,283,f2739d90ce8ee6061b0b8faeead60a30431b762e,2d68254c260471e35647fc1ea33964a536529661,179,92,95,F,35,Run4life Corumba,01:46:22.672
10KM,10KM - ATE 59 ANOS - FEMININO,284,b1b1eb2c118075a3a1dc99f5f55989988acc4c20,596828da25049cbd58beb19cc395552f4b3d4311,131,62,64,F,32,Run4life Corumba,01:30:40.022
10KM,10KM - ATE 59 ANOS - FEMININO,285,9714eb7ceebc447821bfd39ebce43a5aaf956cac,679352a2e14e73baaf2da9dd476a658b51b984b2,193,100,103,F,41,Nao tenho,01:54:27.111
10KM,10KM - ATE 59 ANOS - MASCULINO,286,a58b03baba58356405c4484b0370c03948c479d1,c5b03c4a3ec58c6a1137ec774cf8a5a392416131,53,35,35,M,53,,01:14:18.607
10KM,10KM - ATE 59 ANOS - MASCULINO,287,9ce7acb958edd11e92862334e2e82175dc15af6f,53a01a76fb0f22ed7a96d694188f66a65a4b1031,67,40,40,M,47,,01:16:26.345
10KM,10KM - ATE 59 ANOS - MASCULINO,288,3da8b3aacbb868d30711576532e0b08bb9c2a7ca,f97274114bf53403dfec70698a16cc15472f2b87,208,81,94,M,46,,01:58:57.767
10KM,10KM - ATE 59 ANOS - FEMININO,289,4b99b363661b4c904f0cf1b24b6e52ba21dd13f5,97b653ff98719111f28d520bba6f7a36709c8bda,192,99,102,F,35,,01:54:23.142
10KM,10KM - ATE 59 ANOS - FEMININO,290,8cfde7bc521a5daf4d3aeaa3f9a00d46b7432dc3,d0430ba139e188cd42abfced41dd6c6d6cbfa012,71,30,30,F,34,Coelho Lima,01:17:31.428
10KM,10KM - ATE 59 ANOS - FEMININO,291,7fbce82cd1ad11dc1a2e79f1f6a2c0e50865e6cb,67a6ea8167fc11431be9b4e9985eba1f68c91193,75,32,32,F,43,Coelho Lima,01:18:57.195
10KM,10KM - ATE 59 ANOS - MASCULINO,292,f901d3e0f6af68a8de0e6c60e8485f5c8fb74d0e,690a7a0b6cc79469bd64b1b8bf3145e0536eb3de,52,34,34,M,40,Coelho Lima,01:14:14.141
10KM,10KM - ATE 59 ANOS - FEMININO,293,63ca073aa49ff7ea85ce876d19634d8519f79dde,c6047eaf21687a484205899e99859842fbf43a34,139,67,69,F,30,Run4LifeCorumbá,01:33:14.224
10KM,10KM - ATE 59 ANOS - FEMININO,294,d4a4f56489380c56b79dcece695c7f37e4f1e9d7,4e7989424e31701c29b4ad2835952a24e588776c,21,9,9,F,32,,01:03:21.935
10KM,10KM - ATE 59 ANOS - MASCULINO,295,246ad957874cf0cb3774c066fba5ebd9268d95eb,94b80b30b87002c96edd1f44be94dd74b10e7083,9,6,6,M,27,Maíra Brum Assessoria Esportiva,00:55:08.234
10KM,10KM - ATE 59 ANOS - MASCULINO,296,afd2fd68e8805afa4583be851843687077709045,d4210fb777986ce44aa10951ff1adf2747f9e147,31,20,20,M,35,Não,01:07:37.124
10KM,10KM - ATE 59 ANOS - FEMININO,298,373da2272d435dae10a9f98879a1ff5116bf9c6f,1b538838096722bd6681723069d20bc2b02bc653,127,60,62,F,34,-,01:29:21.608
10KM,10KM - ATE 59 ANOS - MASCULINO,299,875778e45e71b6db1ba6483f698730d23590edc3,350b5de7e76334fc0e5070465c7ac4fe8812fbce,26,15,15,M,22,Run4Fun,01:05:18.793
10KM,10KM - 60 ANOS E ACIMA - MASCULINO,300,da978082ce3be7ad2f436248d97204e3320124b3,9f52f311fc0f5454c9462a1592aece76b37e70e9,103,1,53,M,60,,01:25:04.631
10KM,10KM - ATE 59 ANOS - MASCULINO,301,5d113aaf14007ad430fdd57241d45704a88a91bc,dc63e38de97ed814f3c0377b17d2a201f0b6ee13,27,16,16,M,44,,01:05:29.511
10KM,10KM - ATE 59 ANOS - FEMININO,302,fe1d65485e3a8b0fc8446d72c8424ee2d371f282,2a6660ea835b75042e940ce5f2cae8800139a12a,42,14,14,F,29,NÃO TENHO,01:11:57.379
10KM,10KM - ATE 59 ANOS - FEMININO,303,09e89b84e5a7aaecca061f4562ec9a8d5dd6372b,fab69764ee958daf7875c1eda15f0a3bc220de4d,85,39,39,F,33,TOP RUN ASSESSORIA ESPORTIVA,01:21:03.459
10KM,10KM - ATE 59 ANOS - FEMININO,304,2dfae3e5d2c03bffdb689d554e89060470699870,8e888100eda06b954f6a5df0a84305c1557d5662,65,26,26,F,31,,01:16:01.558
10KM,10KM - ATE 59 ANOS - FEMININO,305,eba1e72246ff27a281597f460a3830c5878d72af,8cc5f824caf60729f9fcf6e3de4f25e45f35679b,118,56,57,F,41,Saúde & Movimento,01:27:48.927
10KM,10KM - ATE 59 ANOS - FEMININO,306,54a5baa0111ed3cfc88abd8a57323cb303be0b3e,689b0a5c14993fd48a927aa8b0187fba8db94ff7,161,78,81,F,42,Cobras do Asfalto,01:39:49.628
10KM,10KM - ATE 59 ANOS - MASCULINO,307,68d10e8c942f449350b48e1791eddb23a6ae77c1,d61b48b143a39313162757f8c6f058d722a5a09c,99,51,51,M,40,ActionRun - Run4Live - Caveiras,01:24:21.122
10KM,10KM - ATE 59 ANOS - FEMININO,308,4799af5699fdd0c5dcf5c5f72169adecbd46284b,da39a3ee5e6b4b0d3255bfef95601890afd80709,177,90,93,F,,,01:45:55.081
10KM,10KM - ATE 59 ANOS - FEMININO,309,1be09a5eccabbaa803fb4466249ce179ed6871e4,1178ddab77b394864fc4367898425fabca3558ee,191,98,101,F,58,RUNNING FREE-SG,01:53:39.093
10KM,10KM - ATE 59 ANOS - FEMININO,310,4ffd46c84ecd57ddb495f4c3a3aaf279f5dae7f7,8a7477024e30a8959221391be7eed03b7e0494ca,64,25,25,F,37,AMAMS,01:15:50.902
10KM,10KM - ATE 59 ANOS - FEMININO,311,9a86255152bd724bc32cdf1049401602d6ab9a19,7ebe8747c876166bceace8e9f3f4e727cddc52f4,121,58,59,F,56,Runners Fit,01:28:36.328
10KM,10KM - ATE 59 ANOS - MASCULINO,312,bef57fe8095e42fd0315fadf16ce911f43c567f7,974c6466b14232a46bd5eff3d7c778256e3f7722,14,10,10,M,42,Olympikus,00:59:04.521
10KM,10KM - ATE 59 ANOS - MASCULINO,314,b614467f9147e06e130a5773f82dd116c6757a14,25aaadea08e7723aa691bf314a9831f0cbb82e40,50,32,32,M,34,,01:13:40.880
10KM,10KM - ATE 59 ANOS - FEMININO,315,b09bf49f3c8c96fdcfcd445bb89b624f1ff3af7f,e6c46bfa9cc29c21f0cf52e83de0c850cde604c4,172,85,88,F,28,Olympikus,01:45:07.021
10KM,10KM - ATE 59 ANOS - FEMININO,316,56e3f68acc51634cf5163857c97f727ec18e053c,dddd80baafd25dfc2245507bc7a365784e62e56a,165,81,84,F,25,Olympikus,01:41:14.624
10KM,10KM - ATE 59 ANOS - FEMININO,317,fdb1a5631f3198df77fc6cbd5a52b65f62974c33,4f2c467ff7d53d0941adca323dd240a8ff0302ee,178,91,94,F,42,RUN4LIFE CORUMBA,01:46:06.158
10KM,10KM - ATE 59 ANOS - FEMININO,318,7fb4b75a0d2e0cb5114ccabdd3da45786e999835,467da8b6e61a66296aa0490f5a6f08f1837570fb,56,20,20,F,29,WH Brasil,01:14:23.507
10KM,10KM - ATE 59 ANOS - FEMININO,319,1694d9a2c7e741118eabda619e89fc3ea6d282bb,1e441222f5fba7d91b6133161962b4f7d97458b1,10,4,4,F,32,Beer Crew SP,00:57:03.774
10KM,10KM - ATE 59 ANOS - MASCULINO,320,e005e8cfabe5c49c445ad093c18feceec192fe6d,c5f369b4fcb8e459cf2ebca81cfa79bcbda5dfef,17,11,11,M,30,Olympikus,01:00:11.229
10KM,10KM - ATE 59 ANOS - MASCULINO,321,644a470db8101a9dba39f8bf4f3a12d03cd6fb09,5cb2220e5bedbad8d0fdd0d3c061fe08e38864f2,142,69,71,M,30,BESNI,01:33:27.666
10KM,10KM - ATE 59 ANOS - MASCULINO,322,ab83b90524d7f3a132c85239cd425052f7d19651,1e2b3f6b154c89b089daa784aebd525ee984dd47,146,72,75,M,34,BESNI,01:34:42.375
10KM,10KM - ATE 59 ANOS - MASCULINO,324,d4ff153bda11a795a055ea1233166568f7367879,8f39adcac956ae03058f3488873a3a9c97ea1665,120,60,62,M,49,sebastiao oliveira campos filho,01:28:22.989
10KM,10KM - ATE 59 ANOS - MASCULINO,326,b5700cda595ba77ec9ecd590a763dd7c1ec9cfa9,efb21c9447d6516df99ecdad49a86a1f8026a157,133,67,69,M,37,,01:31:51.128
10KM,10KM - ATE 59 ANOS - MASCULINO,327,4216c9748a714ffb7f100bcd4cf3c717acb4512d,057990d801d735caeb88b33d6d64abb31fb1636f,68,41,41,M,39,N,01:17:09.571
10KM,10KM - ATE 59 ANOS - FEMININO,328,ed547723bd84c34b5bafb0c9e940c17070c6ca46,07c53a1e64a9f0470768aa4df4cb25f38041c897,195,102,105,F,35,ActionRun,01:54:33.423
10KM,10KM - ATE 59 ANOS - FEMININO,329,c64b765908a248fce77229a716426abc3635213d,e09c551d1bde5bdf81b45b2007ef67a816966d14,63,24,24,F,24,BOA FORMA,01:15:43.514
10KM,10KM - ATE 59 ANOS - FEMININO,330,0d7554f4849270edcc63423d8aaef33eddac17b8,372a5fa344ea77d0a4de092e5ea5e8284fba3e4e,134,63,65,F,23,SQUAD,01:31:52.818
10KM,10KM - ATE 59 ANOS - FEMININO,331,a6cec03282ec737b37de432a2b49212eb9e730e5,53ec903747e682362057585150c5ecd1aa4ea17c,18,7,7,F,46,,01:00:51.221
10KM,10KM - ATE 59 ANOS - MASCULINO,332,a4bad3b47d9c3c169af2dd5a401c96f6e0225202,65cd8e15bff658e5c5e1d5ad40b335cf10571a5e,144,71,73,M,26,,01:34:10.327
10KM,10KM - ATE 59 ANOS - FEMININO,333,a0022f219da4c3992cbd795d9bd82668e7631ce2,62aa2de5988ae9a360d5e40e79b311802f208372,97,46,47,F,51,,01:23:37.618
10KM,10KM - ATE 59 ANOS - MASCULINO,334,1637e5a40c936ece690d798257ab12b21d652932,5375de1124394c7e83f878c77cbd6468dbb9964c,40,27,27,M,30,Olympikus,01:11:19.310
10KM,10KM - ATE 59 ANOS - FEMININO,335,b6ca85e427d8f2eb826ff3ca1292f0fded9c770f,8aa3defe76ecf8b84d2aad3f2af4feec0ff71a48,22,10,10,F,35,,01:03:22.317
10KM,10KM - ATE 59 ANOS - MASCULINO,336,a3bc3a0fab787db33ece38377415f74d3b5a2f6d,38b3d0522a5ff442d448ce26f3dc58bb13d904c1,11,7,7,M,25,,00:57:04.236
10KM,10KM - ATE 59 ANOS - FEMININO,337,3d16d43c9c24f7d6f9fa79ca6ea83834a4c57481,c4fa453635792670f8ed29ae7895be9db974ddb5,4,1,1,F,32,Avulso,00:50:22.440
10KM,10KM - 60 ANOS E ACIMA - FEMININO,338,04fb69dc57f3cdf8793690fb1fdbff72541e5930,a61536884e4e1468920c756792d24dace1369185,151,3,75,F,60,Não  tenho,01:36:43.577
10KM,10KM - ATE 59 ANOS - FEMININO,339,6daeba4477ced40b1b47972c49b9aab27515c02f,38945f3e2af6557b88a2fb88a66f018c5a08d9a3,8,3,3,F,24,Avulso,00:54:40.716
10KM,10KM - ATE 59 ANOS - FEMININO,340,dd585ff96556d43d437a6e04182c57509f62875a,318350e813b04ffa023b7742f7b3d3838dac95ac,7,2,2,F,31,Olympikus,00:53:39.319
10KM,10KM - ATE 59 ANOS - MASCULINO,341,7720cb77346af86375ccc987cf0b23e1f85568d7,0987941bd7bc46fe829bce8401d53de569bb817f,88,48,48,M,30,TamoJunto CT,01:21:20.385
10KM,10KM - ATE 59 ANOS - FEMININO,342,79e84a21bcc50a4d1b3c99d9a8d00a8c20720bbe,d440d39d92c7ca31ff39ccbdd1cb34cbca1c67e9,149,72,74,F,29,Olympuikus,01:35:44.306
10KM,10KM - ATE 59 ANOS - MASCULINO,343,263a16a7cb91abe58201e6df4ec1496b81f07a6d,92473a02399c23d5af14b3d9f9d8de0ee9a471a7,3,3,3,M,32,,00:49:52.475
10KM,10KM - ATE 59 ANOS - MASCULINO,344,b4916870c7d447aaa4b4b0bcb72d36765a4d8de2,6d9c0545e3b01191516a859228e6400eb232f46a,12,8,8,M,33,Erasmo,00:57:25.394
10KM,10KM - ATE 59 ANOS - MASCULINO,345,6c209fab8c39b5db25ba4866d4b724baab533f59,44fde3259eaca8159bd924c4fdf447c82cb19ce5,36,24,24,M,34,AMAMS,01:10:45.037
10KM,10KM - ATE 59 ANOS - MASCULINO,346,dda2b1f08efb0b294e735a95e00ebd10864a3a6e,82f0a5b98dfc430273408ee2de3367553ca3d7a5,20,12,12,M,44,AMAMS,01:02:16.642
10KM,10KM - 60 ANOS E ACIMA - FEMININO,347,f5565270c02c080b4dfdca7c3ced6cf54e636208,e0fd5774ff93dc288d06036de44557531ee53664,95,1,46,F,59,AMAMS,01:23:13.399
10KM,10KM - ATE 59 ANOS - MASCULINO,349,62d45e3ecaba8274d86c17b42caa82731dc7c44d,783bc53b02065c400f62400f155aafbd35a97a86,150,73,76,M,38,Croacia,01:36:36.404
10KM,10KM - ATE 59 ANOS - MASCULINO,350,0531a30b10b70543d163df92486c1d290cf653ac,0504085d176d6d8ee318d7e6cd8ab90e5b79a464,57,37,37,M,27,,01:14:45.095
10KM,10KM - ATE 59 ANOS - MASCULINO,351,a8d0b37dfaa7c852122790e71fdb14cf8950cc91,762aed5be092e2f020dba4a4d5f7cbe5990b9c26,5,4,4,M,47,,00:52:14.147
10KM,10KM - ATE 59 ANOS - FEMININO,352,85a8fe1379cd143cacc4c32ad3acdefbea67c661,b487f40b5fec6518a32fd4f230b115b629503fa3,125,59,61,F,35,,01:29:18.830
10KM,10KM - ATE 59 ANOS - MASCULINO,353,5b7ce456acc74624c8064af660fd1f4d2ebcd743,cc01530f35df872a7e666cc57a6b0dfd9f170c4a,157,75,78,M,39,desenvolvimento OLYMPIKUS,01:38:23.734
10KM,10KM - ATE 59 ANOS - FEMININO,354,9e73d85502de5183b114285133a7ee1f295c9492,ced4cf7f0dcabd6613f041c1d6290257dbcdb892,206,110,114,F,20,-,01:58:19.888
10KM,10KM - ATE 59 ANOS - FEMININO,355,1093008a7a24c84234c1b92d316718316f651ea1,292ea0793274764fe0d8175bd50ea3efbbe44d1b,84,38,38,F,34,Milk,01:21:03.387
10KM,10KM - ATE 59 ANOS - FEMININO,356,bfd38bdb034fec9a62f1e76ba04414a65b33be85,14103f5c45c47b1e775c12dea40931f07417fcf8,54,19,19,F,29,milk,01:14:18.728
10KM,10KM - ATE 59 ANOS - FEMININO,357,2b035162e897dc55597c87554e31ea17fcbe9618,f3e0c2ba7f54ad6f0f5c4f7c3713c775d731f73a,198,105,108,F,23,Milk,01:55:56.776
10KM,10KM - ATE 59 ANOS - FEMININO,358,88527f62b6d8439aefacc44ff4cbb5c73ddc780f,f2b51fc44861080f6276295a4360946020cd0fb3,87,40,40,F,42,milk,01:21:20.264
10KM,10KM - ATE 59 ANOS - FEMININO,359,b95fbecfd64449c9c292dd790dc3e84e310cabcb,aa47e84de4e7cd7752b70faf9dcc98ef47912b33,196,103,106,F,31,milk,01:55:02.121
10KM,10KM - ATE 59 ANOS - MASCULINO,360,100750ad9f8c45ea448bc58b833e2c21ef107238,b15f724ee39a53581898b48024c1fbde872cc92a,143,70,72,M,37,,01:33:43.146
10KM,10KM - ATE 59 ANOS - MASCULINO,361,a3834565f7972f3f49579414b2766cf72733302c,c4a35607378b19cc687f30fbfc32868b51f98b85,123,62,64,M,28,CROACIA,01:29:11.035
10KM,10KM - ATE 59 ANOS - FEMININO,362,06aed16eb460fb070fd9d79913674e642a2bf8a0,a342137df81af1b8f414ba3891d1929e732078e9,98,47,48,F,39,BOA FORMA,01:24:06.440
10KM,10KM - ATE 59 ANOS - FEMININO,363,da47549ccc14919d95002a618a3fb9fa4cd85393,851fa114be91a2dbfeaa5e801dfb154ffb71d587,156,76,79,F,31,,01:37:58.539
10KM,10KM - ATE 59 ANOS - MASCULINO,364,c689efc85c3a0d1d979675026229b4e383187d40,95abd3542c55e024b2fff0b12eb69eaacb922484,2,2,2,M,36,Pretto Treinamento,00:44:52.056
10KM,10KM - ATE 59 ANOS - MASCULINO,365,d7b9d8df6e7fae6ae8c926e359a4ec85dca71932,d7add6d7cb7900cb7bcd4af5f74dfce1cb3bca19,107,54,55,M,54,,01:25:55.758
10KM,10KM - ATE 59 ANOS - MASCULINO,366,04fc2a8b7fc155b2f8afc2b89dc73987d4d24b73,cb128620e46e3f79ab40c5122cf5ee084ed8a732,78,45,45,M,34,,01:19:44.988
10KM,10KM - ATE 59 ANOS - MASCULINO,367,477788f16853fd5194d926573ee8487f430c3446,143671a9fec8020fa0258a21c3c24b6097b61ed1,188,79,88,M,40,marcio,01:51:54.563
