race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2276,9f1e2d08d312000e067237b0ea18c8505d040324,600a39c1ff50c6f615cb189c4256f1dac9b4870f,212,72,83,F,46,,02:38:04.207
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2279,91150af12a63ea69052bde310e6c9685476452ce,01daee7f8f49099c2511bc389652d69d276eaf83,174,53,59,F,40,,02:25:39.749
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2280,4e4b3337c5b218a193a11aff0a432ee67d9b7bce,28a4c5661225d8794b1ded95a202723c01badfa4,236,117,139,M,46,,02:47:56.991
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2281,28198a41c6248f130546490cd11ab5c13e32facf,d29ca38f35ac679d7307760567db7adf385afce5,32,23,29,M,41,,01:50:30.426
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2283,6f0a86f43a6408b1ca06fcee7a8da3cd369b48ce,f542b4e301129343868bceadbdad70bf9393531d,230,114,135,M,29,,02:45:07.978
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2285,ad3c7a7cacf1e37b6176121def736a5638709a31,93797196232e0e47456fd35674054e10ba7e0f95,226,80,93,F,43,,02:44:37.201
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2286,2ffb1eb35af32de01e9852cec992c7fda11643d8,bfab7d4cabaa81c54ddd9792930619fb7f39c031,21,2,2,F,28,,01:45:44.863
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2287,b9732bb3de483ba5526abf607cf0492ce9dd9995,4f503bbc2304c81fe215b0fbc5dcfdd9ad2b5303,201,64,74,F,32,,02:33:28.983
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2289,00356f9c0e26e959ba26e17293e5fe83eed67dd2,257a0fd2bc957f9a07b15e8349c1eabad5774e89,180,57,64,F,46,,02:27:20.738
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2290,b273de88cc303af46558b02a429378a04b38a94b,bb7c8e5c98c185b5e1e39e9574edf5139bb4806e,153,42,46,F,45,,02:21:17.713
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2291,eb2087e25d81e7d299431059b3b18bf2b4699ed5,8eb7d3c2ceb429e371069c69562c73251fdf7604,141,37,41,F,42,,02:18:50.747
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2292,9ff56f12607b7869c0139fd92b53ab61cddfb057,c27c8b97aef53fc50a1f0da1b30fe066cefbec83,128,29,33,F,45,,02:15:18.263
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2293,9e41432b75b00d2932067767bc0dd6779c8a1b73,bda564b7fb892c49078bf5ee9c225a1546c80b9a,161,94,110,M,35,,02:22:59.201
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2294,b4bee845c1aaf90abdff534be870cae624737f24,82571321219371ec3a5867c0777c11bf3bba0d68,121,24,28,F,41,,02:13:54.708
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2295,2f6edc3171a654d91a3ca082bb280cd686df008b,20f79e8847b1d7ce979dc7d99bc75dd8acf9d1a8,239,85,100,F,23,,02:50:11.414
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2297,2935ba763e43363c95b1dc1f63632e57cb6b1c0c,8dc273fd72f2748cab30e9725794764a078a1d6d,242,87,102,F,49,,02:54:16.396
