race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
21KM,21KM - ATE 59 ANOS - FEMININO,417,30fe9fe44b0265139328d7b792e8d306ae445183,469836c2f9697d6bc270730683c4e5e8b3abac63,223,14,106,F,34,,02:13:32.440
10KM,10KM - ATE 59 ANOS - MASCULINO,418,04c16fa198a93c667ea70bee0722974138ba58ba,72e4234dc62abb1a2057766714ea9c6efd88a6f4,149,28,76,M,36,,01:42:50.319
10KM,10KM - ATE 59 ANOS - MASCULINO,419,5ed93ee0c343169180be7a9a85bb819810257cc9,acc9e05cf225fb2ec004dedc1369858508cd3ada,62,3,43,M,45,X Runners Maringá,01:19:07.883
10KM,10KM - ATE 59 ANOS - MASCULINO,420,95c31504a181d94ca188ce5131f3477bc7626dd8,a93b65f8620a376b9d85105d004923c54b145eb6,123,22,66,M,47,,01:33:31.541
10KM,10KM - ATE 59 ANOS - FEMININO,422,6ec955b0c98e4332ee7f380a52fc13bb01f62911,b885a453a8e6f33e65ff54cf97e2d24b81baaa0a,113,49,50,F,29,não tem,01:30:32.235
10KM,10KM - ATE 59 ANOS - FEMININO,423,618bd687e4c76c123ff05543ac745816865ef6fe,2878b5353fcd9f364a0c9bc146b83846d2a30bbe,68,25,25,F,22,,01:20:30.618
10KM,10KM - ATE 59 ANOS - FEMININO,424,3baf1c39ef65325fc3bfdbc1b9289ba4c70c420a,f24bca7312df76f1bf82ad1adb6ee4008985bf73,130,60,61,F,30,briza,01:35:09.337
10KM,10KM - ATE 59 ANOS - FEMININO,425,c4b30d574d9fb77a353a336697c0ce90cf9195f6,7a7ece39488ab1c7c8e1a6a56e931b378f973e49,42,10,10,F,45,Velocità,01:13:10.145
10KM,10KM - ATE 59 ANOS - FEMININO,426,bfd38bdb034fec9a62f1e76ba04414a65b33be85,f6d54485d3162f4747c8d6380e47688915fbb611,30,5,5,F,29,MILK,01:07:22.648
10KM,10KM - ATE 59 ANOS - FEMININO,427,37a01ba767f7dc28f56d4b8790c8da9a94621aa4,2f51e1ec399f8c292684183691aeef5eb236bb11,124,57,58,F,29,Avulso,01:33:49.837
