race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
21K,21K - Geral Masculino,2189,ded02650c1904bfabbc4fcb59e2fa3c918799bdb,9b1f9bbbce1aa9eba623657d3a7327e563268211,22,20,20,M,,,01:39:17.441
21K,21K - Geral Feminino,2191,d3f9003eaf4b979cf3a8bb1c4a9f53117e237f86,9415a6cb2887b677fa9226939729f4cc4a9378ee,55,7,7,F,,,01:55:01.545
21K,21K - Geral Feminino,2192,2cce842004f8df403d1f795271df683fc7dbab89,08f435695986dbc7c1068bac33309235ee3d620c,86,20,20,F,,,02:07:20.843
21K,21K - Master: acima de 50 anos Feminino,2193,f6b092aa198e41318413bde15845885276222eab,cbd0c3df66eee1727892536c9e15d53b4b8a5829,126,5,37,F,,,02:22:47.424
21K,21K - Geral Masculino,2194,894992e86450b93792c446897f243d1a719dac3d,a66eebcac2ca055abc5d9f4b422798931885e9fe,112,68,80,M,,,02:19:03.955
21K,21K - Master: acima de 50 anos Masculino,2195,f1bd4bd80caac27c0c7a3df7a50673d2ec4176da,dd98e7aca3c1910dee026f9e569d3ed79163b046,59,8,51,M,,,01:56:29.328
21K,21K - Master: acima de 50 anos Masculino,2196,e33c1b5242e34c1f4d2962dbf19d5585c217a71e,3cf4f75fda6e67d0a87504c4fc60a353d9c8b9d1,42,5,38,M,,,01:48:16.423
21K,21K - Geral Masculino,2197,061f291362e1cd77b82b70a1ebdaa441587c68ed,a9832b9c84a269eddbf0f0c3e4248c4980d76306,95,63,72,M,,,02:12:03.889
21K,21K - Geral Masculino,2199,b3294feec171b3874001f08b08a2be4e6a8784a4,14c86e35427136983bf7512a2db814a94c89bc23,145,84,97,M,,,02:32:47.741
21K,21K - Geral Masculino,2200,0eddb3344eb4d949e19586d32b75fe607dd66b4a,6d04d2a2b01eb23ebf59bc52ed940d22d4bcd13c,117,71,84,M,,,02:20:45.661
21K,21K - Geral Masculino,2201,ba43cf49b9be7fd71378ab5c222dc121d5483e11,0755b72255345273c81e4bd9a2142218a363b32b,9,8,8,M,,,01:29:18.632
21K,21K - Geral Masculino,2202,f2e1b9cece95c01ecb827fd4a79496cf14398d60,7b0a4715923971720b5638e453899b66873942b1,17,16,16,M,,,01:37:00.319
21K,21K - Geral Masculino,2203,46a462b1ce789c30b6242cbadb3bc3a1a072f174,e62cfdd8d348f05851b23d2c00b3048886c321de,116,70,83,M,,,02:20:41.439
21K,21K - Geral Masculino,2204,749c5fe880bba020bd47a5b0e4acb8e01d05ad5e,2d685be869e52ccc28ce7600e969df1c445495a9,25,23,23,M,,,01:39:28.783
21K,21K - Geral Masculino,2205,c8c032da2309f40133552059ee43a03e73ef77aa,d6f4ae27877c174cde58a9bca41ea6beb04cb86f,12,11,11,M,,,01:32:52.525
21K,21K - Geral Masculino,2206,2da4cde3cc2fde39d16042b6e21554230a575dfc,6debb031340acd7f1da0921d0e4a460344d12560,4,4,4,M,,,01:19:10.917
21K,21K - Geral Feminino,2207,6bab8818586d46e7acb8fb745c72a2113ff744c1,9cfeec5f4177e76f3f2ea26d2cf2f9fc751f2ae6,93,23,23,F,,,02:10:26.290
21K,21K - Geral Feminino,2208,56ebea41e83856010e5b261059eacdf2d9e02289,9f7e6825e3b306a0552be893a61f1475df55df50,52,5,5,F,,,01:52:03.107
21K,21K - Geral Masculino,2210,348b1b028b764371cd8f265708a031be3aef7f82,6f59d952e828df6c68c08b6cdd0f7f7543daa726,20,19,19,M,,,01:38:45.387
21K,21K - Geral Masculino,2212,d68bdad9b360ae25233ce77bec722755ee5d559c,808bc68c2d2745fac16ec72135856e901bd9e7a4,35,29,32,M,,,01:45:44.421
21K,21K - Geral Masculino,2213,9fd99e85ce73c38af25e65c3175e3d698f53432c,1bd614acc5f020cda5059373e36a1856dc31e7dd,143,82,95,M,,,02:31:58.408
21K,21K - Geral Feminino,2215,fb58424c2274b92035ccb8f0c2ecb2f494d370dc,ba16379e3f200bf3de7cafe9effddd56fadf615c,141,42,47,F,,,02:31:53.244
21K,21K - Geral Feminino,2217,f9a128c123556968360e548a031ad0a2d2eb65de,8b8ae4f6fca080d545d8b8a0ad21753569c6403b,88,21,21,F,,,02:07:43.688
21K,21K - Geral Masculino,2219,132b1f0b4e5b5b1bde0f1eb2f57ffd8208dfdafc,2d847406035cff135fc2fe58778c8058eeec73bb,32,28,29,M,,,01:44:09.882
21K,21K - Master: acima de 50 anos Masculino,2220,75b5ecd7f99501e0a46bc05aba84eb2e21732b7c,e000f1ec29b7af7d18d97a0d398dd24c9e262e8a,102,10,74,M,,,02:14:55.855
21K,21K - Geral Feminino,2221,84b062355b44e770c01f85d8f569cacb245b5b66,a2aec0d36e775645a71957d9a6bdc10e79412de7,62,11,11,F,,,01:58:07.778
21K,21K - Geral Masculino,2222,9bcf3f45090cdbe175ea4bf01f1eb60fd1ade46e,b997b2c20f4c56d138857ae505c015c9df8abe6c,63,44,52,M,,,01:58:28.671
21K,21K - Geral Masculino,2223,442c18e357f808c1c6eb67b76614fb3893cbcc08,791495d8e7e40ebf856b11827d510367a4fe6b74,38,31,34,M,,,01:45:57.486
21K,21K - Geral Feminino,2224,f772a6fd9ea5fe68de339e9bdd36e61f47236bba,d9b33641dafb46e7c543862c7cbeb692c7da65a4,8,1,1,F,,,01:28:55.590
21K,21K - Geral Masculino,2225,ae92f7d856420472e7083bc4694e007ad7c1ccd8,0bc6e3db990c27d09f0dc0a4679f986e0f5b2044,72,48,57,M,,,02:01:49.067
21K,21K - Geral Masculino,2226,634f818064bfba60374ba57e8f4e04690d664e55,890ace0793fd78373fdf7931f09e4b580e0f35c2,43,34,39,M,,,01:48:16.659
21K,21K - Geral Feminino,2227,e7b42ed0b7d8d6e1cc2c5995f2dddac616fdc097,bb1267250a65f25e0a9b6df8eb66b18a1c6c2025,79,18,18,F,,,02:03:56.739
21K,21K - Geral Feminino,2228,aab769cf224fb52038103d4e442c3697f8c6622c,2794945774e64a0175a7934c6a075f214592cb7c,26,3,3,F,,,01:40:47.378
21K,21K - Geral Masculino,2229,9cbee765240a0f7ef02d062fef0271c4592fde2a,3586b26575c882b938de776016d45bdd6329278a,28,25,25,M,,,01:42:00.904
21K,21K - Geral Masculino,2230,d90b487c05b0b4b4442e5633ef7983384f2d899c,e7d86a8649faeac053c123880ef0a8a1ef790f36,15,14,14,M,,,01:35:23.390
21K,21K - Geral Feminino,2232,e9a0a6746964bdbe416d72e2fc2b88e70fac39c1,60250be47ae0de1fb46c194da997421952d20618,134,37,42,F,,,02:27:28.006
21K,21K - Geral Masculino,2233,3b6fe1dbb02f9466ba76f765266151d82f3b8ccb,3e8941074470f3a3e29b4cca121f98c686ec9103,54,41,48,M,,,01:54:12.671
21K,21K - Geral Masculino,2234,444b5ecc8265b589f5ff31336c5b383028d7b23d,5b3c7098b9f593be2b47b3e5e37a4bba721613a8,129,77,90,M,,,02:26:02.694
21K,21K - Geral Feminino,2235,17f1bad6258b44b32aceddaddc422ac24dfe1a00,52893e397c3d001896672507d43d093f050f1013,37,4,4,F,,,01:45:50.576
21K,21K - Master: acima de 50 anos Masculino,2236,e147056612a53449448d349438b5172591e44dcb,3e8ba17e79beb960873f1a2e6844c016f7041620,46,6,42,M,,,01:49:32.909
21K,21K - Geral Feminino,2237,ff82565943a14cf6b47669aa0b920ef3ddbb8c7e,58825ce6893bbeb43a25a1d3a7a0d977682055af,135,38,43,F,,,02:27:58.309
21K,21K - Geral Masculino,2238,92f5bfc7d8dc11538b0bcbcb0a2d0b17601d2ffd,532c961cc81d33e013137e81d22042b5863a457a,69,47,56,M,,,02:00:52.218
21K,21K - Geral Masculino,2239,9dd554268baf2ae574723b4d5b82f0d9361c8aa4,372a071b07f8fe152bf2bd0b50ef3be73e8cdd0e,115,69,82,M,,,02:20:30.928
21K,21K - Geral Feminino,2240,62bc0b4380c8703610da44312b6152eff7266952,31a10e54c75859ee81e3abb53be6fc1833ceb77f,74,16,16,F,,,02:02:49.176
21K,21K - Geral Feminino,2241,fa8bff04e179b0b61327bb1d6602de4feb9481a0,b76b572bfc12b1a9c8872dcf55db25c5af4d620a,121,32,34,F,,,02:21:42.790
21K,21K - Geral Masculino,2242,9939967cf7f4f58d85deb6412f1ea4724e7b2d2a,e6d8fb69b00d06ce13de0520f03bc1f8ac506bf6,27,24,24,M,,,01:41:31.852
21K,21K - Master: acima de 50 anos Feminino,2243,dcff973fd674d364c34c8f6ef491594081565679,78626ad64b456292c557e267d127b6f6b5d6786f,125,4,36,F,,,02:22:42.593
21K,21K - Geral Masculino,2244,fa148223805091f8c432e88672b4a356cc5e0a77,24f91a28b171c711197b96f2e13ae2ddcf7b067c,6,6,6,M,,,01:23:55.897
21K,21K - Master: acima de 50 anos Feminino,2246,ca1dc06428d222f678a6e32149b7d37fa11ed4bd,74c6191c3ff04d20e7da9bf1d10e2758737f01dc,113,2,33,F,,,02:19:28.995
21K,21K - Geral Masculino,2247,156f7afcba82648b6df996a143daa0df70f3dad6,3dca76833f560adcc3c3cdd4da319d3130bfb920,131,79,92,M,,,02:26:15.386
21K,21K - Geral Masculino,2248,acd6b0cf8f5bcb0e8fbb8de61b3242e52ea90195,9df5f4f47261b6f39248984aeafdb322006275f8,45,36,41,M,,,01:48:34.271
21K,21K - Geral Masculino,2249,5e2d2215009ed8403c5bacee69cb660e6aa40ba0,8f752f8ce25ec2f29e6edfc122b93499abed8cd3,81,53,62,M,,,02:04:39.831
21K,21K - Geral Masculino,2250,46efc6846dbba7a261a6a37ae918ac649623580b,73e1bf02bb7d175c4b74b84df6ba387ded807e54,144,83,96,M,,,02:32:24.625
21K,21K - Geral Feminino,2251,9b41cdf9a2b0dd752db85efe37d198c905ce6ab1,be22240148f4133775b25ef4c2ced6dcde02e49e,142,43,48,F,,,02:31:53.397
